Steps,array0,array1,array2
1236,500,516,738
1237,500,515,738
1238,500,516,739
1239,500,516,738
1240,500,515,739
1241,500,515,739
1242,500,516,738
1243,499,516,739
1244,500,515,738
1245,500,516,738
1246,500,516,738
1247,500,516,739
1248,500,515,739
1249,500,516,737
1250,500,515,738
1251,500,515,738
1252,500,515,739
1253,500,516,738
1254,501,515,739
1255,500,516,738
1256,499,516,739
1257,501,516,739
1258,499,516,739
1259,501,516,738
1260,500,515,738
1261,500,515,738
1262,500,515,738
1263,500,515,739
1264,500,516,739
1265,500,516,738
1266,500,515,738
1267,501,516,738
1268,499,516,739
1269,500,516,738
1270,500,516,738
1271,500,515,738
1272,500,515,738
1273,500,516,738
1274,500,515,738
1275,500,515,738
1276,500,516,738
1277,500,516,738
1278,500,516,739
1279,500,516,738
1280,500,515,739
1281,500,515,738
1282,500,516,738
1283,501,516,737
1284,500,515,738
1285,500,516,738
1286,500,516,738
1287,500,516,738
1288,500,516,738
1289,500,516,738
1290,500,516,738
1291,500,516,738
1292,499,516,738
1293,500,516,738
1294,500,516,738
1295,499,516,739
1296,500,516,738
1297,500,515,737
1298,500,516,739
1299,501,514,738
1300,500,516,739
1301,500,516,739
1302,501,516,739
1303,500,516,738
1304,499,516,739
1305,500,515,739
1306,499,515,739
1307,500,515,738
1308,499,515,738
1309,500,516,739
1310,500,516,738
